epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67259,1.11267,3.06131,1.60078,0.00366,1,0.25537,0.13698,0.94399,3.1692,1.57523,0.0337724,3.25203e-05,3.25203e-05
2,4.71386,0.89613,2.58579,1.46905,0.00351,1,0.43401,0.32592,0.6817,2.95678,1.32341,0.0171385,6.53054e-05,6.53054e-05
3,6.72103,0.87735,2.37475,1.43342,0.48299,0.65158,0.55044,0.42676,0.65993,2.6098,1.29206,0.00050404,9.75355e-05,9.75355e-05
4,8.70068,0.81243,2.25221,1.39799,0.55666,0.63122,0.61258,0.48139,0.65945,2.6782,1.25567,9.75025e-05,9.75025e-05,9.75025e-05
5,10.6897,0.78888,2.12117,1.37328,0.61128,0.61423,0.58937,0.4705,0.66192,2.78553,1.22437,9.667e-05,9.667e-05,9.667e-05
6,12.6756,0.79652,2.04356,1.37895,0.60524,0.63897,0.59381,0.47945,0.67555,2.32127,1.21918,9.58375e-05,9.58375e-05,9.58375e-05
7,14.6346,0.83584,2.04307,1.38168,0.62027,0.56793,0.60792,0.48603,0.65829,2.17932,1.21042,9.5005e-05,9.5005e-05,9.5005e-05
8,16.6463,0.78826,1.95146,1.31498,0.55982,0.56335,0.60462,0.49541,0.70918,2.19147,1.23182,9.41725e-05,9.41725e-05,9.41725e-05
9,18.667,0.74616,1.87857,1.31106,0.5213,0.62217,0.68845,0.5642,0.69612,2.17211,1.22657,9.334e-05,9.334e-05,9.334e-05
10,20.6802,0.733,1.8283,1.32217,0.87065,0.5724,0.79441,0.63244,0.67986,2.0335,1.20247,9.25075e-05,9.25075e-05,9.25075e-05
11,22.6856,0.7444,1.82705,1.29973,0.85958,0.73627,0.86254,0.69971,0.66657,1.96584,1.17464,9.1675e-05,9.1675e-05,9.1675e-05
12,24.7031,0.66324,1.71377,1.23703,0.8507,0.79251,0.90499,0.75578,0.60472,2.11696,1.12063,9.08425e-05,9.08425e-05,9.08425e-05
13,26.7138,0.67506,1.63592,1.25572,0.83972,0.83484,0.91034,0.75202,0.65047,2.10882,1.15586,9.001e-05,9.001e-05,9.001e-05
14,28.6865,0.66144,1.59382,1.23806,0.87609,0.80543,0.91873,0.74999,0.67845,2.02526,1.1955,8.91775e-05,8.91775e-05,8.91775e-05
15,30.6732,0.68261,1.60427,1.27643,0.89578,0.80543,0.90541,0.75805,0.64616,1.85577,1.17091,8.8345e-05,8.8345e-05,8.8345e-05
16,32.65,0.68232,1.49723,1.24405,0.85773,0.86782,0.90799,0.75641,0.65265,1.73207,1.16783,8.75125e-05,8.75125e-05,8.75125e-05
17,34.6618,0.70789,1.43711,1.271,0.92801,0.86806,0.92633,0.76657,0.71894,1.66993,1.2153,8.668e-05,8.668e-05,8.668e-05
18,36.6786,0.65017,1.55819,1.26107,0.95508,0.85975,0.94047,0.78665,0.68951,1.66224,1.20174,8.58475e-05,8.58475e-05,8.58475e-05
19,38.6999,0.63029,1.4073,1.18098,0.9383,0.89392,0.93836,0.78689,0.68768,1.66576,1.20667,8.5015e-05,8.5015e-05,8.5015e-05
20,40.6976,0.6424,1.3649,1.22488,0.92702,0.89979,0.94685,0.80815,0.66617,1.69137,1.18046,8.41825e-05,8.41825e-05,8.41825e-05
21,42.7019,0.62218,1.32498,1.23136,0.92872,0.90271,0.94886,0.79915,0.63853,1.64194,1.11634,8.335e-05,8.335e-05,8.335e-05
22,44.6606,0.61907,1.35147,1.23091,0.9081,0.93011,0.95935,0.80892,0.63358,1.58557,1.11791,8.25175e-05,8.25175e-05,8.25175e-05
23,46.6793,0.59964,1.31031,1.19606,0.91121,0.92974,0.95067,0.8,0.62571,1.57256,1.11435,8.1685e-05,8.1685e-05,8.1685e-05
24,48.6841,0.62942,1.39311,1.20746,0.91612,0.92943,0.93928,0.7914,0.6488,1.58647,1.1314,8.08525e-05,8.08525e-05,8.08525e-05
25,50.6832,0.64144,1.29858,1.21132,0.91446,0.92928,0.94085,0.79476,0.67234,1.56115,1.14958,8.002e-05,8.002e-05,8.002e-05
26,52.704,0.62144,1.37523,1.22249,0.91387,0.92889,0.94809,0.80156,0.66414,1.52555,1.16892,7.91875e-05,7.91875e-05,7.91875e-05
27,54.6961,0.59885,1.23991,1.18886,0.91947,0.93005,0.94803,0.80378,0.67994,1.50199,1.18709,7.8355e-05,7.8355e-05,7.8355e-05
28,56.6894,0.58965,1.22543,1.18036,0.91785,0.93049,0.95711,0.78833,0.68122,1.48941,1.19573,7.75225e-05,7.75225e-05,7.75225e-05
29,58.7115,0.57865,1.20858,1.17146,0.94581,0.90271,0.9528,0.79684,0.64146,1.50661,1.13207,7.669e-05,7.669e-05,7.669e-05
30,60.7168,0.60797,1.22625,1.19134,0.95565,0.90271,0.94495,0.79575,0.61821,1.46822,1.11192,7.58575e-05,7.58575e-05,7.58575e-05
31,62.718,0.61431,1.14787,1.18458,0.94377,0.92602,0.9358,0.78343,0.63278,1.41996,1.11904,7.5025e-05,7.5025e-05,7.5025e-05
32,64.7125,0.63593,1.26247,1.18815,0.93512,0.92678,0.93729,0.78711,0.63005,1.38541,1.12242,7.41925e-05,7.41925e-05,7.41925e-05
