epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.667,1.83429,1.84398,1.88568,0.76032,0.53056,0.72931,0.35864,1.68807,1.70752,1.62721,0.0807476,5.7931e-05,5.7931e-05
2,20.3653,1.26935,0.86575,1.45736,0.95375,0.96036,0.99145,0.46478,1.78504,0.74997,1.84193,0.060807,0.000117347,0.000117347
3,30.1612,1.1676,0.6924,1.3738,0.80441,0.97074,0.93915,0.66413,1.05483,0.72926,1.17397,0.0408658,0.00017617,0.00017617
4,39.9205,1.08411,0.61772,1.31797,0.99579,1,0.995,0.70591,1.09606,0.4569,1.18295,0.0209241,0.000234398,0.000234398
5,49.5929,1.02569,0.59726,1.28303,0.99452,1,0.99494,0.69552,1.08011,0.48237,1.18406,0.000981687,0.000292032,0.000292032
6,58.3188,1.05184,0.59736,1.29863,0.99314,1,0.99497,0.735,0.9838,0.406,1.12606,0.000292575,0.000292575,0.000292575
7,67.1204,1.02249,0.55121,1.2749,0.99479,1,0.995,0.60012,1.38919,0.46371,1.36832,0.00029109,0.00029109,0.00029109
8,75.8982,1.02804,0.55534,1.27974,0.9956,0.99719,0.995,0.66008,1.15163,0.47586,1.21633,0.000289605,0.000289605,0.000289605
9,84.639,0.99085,0.52957,1.25106,0.98908,1,0.995,0.63612,1.25971,0.43822,1.27852,0.00028812,0.00028812,0.00028812
10,93.5342,1.01135,0.53721,1.27124,0.98053,0.99098,0.99486,0.74782,0.91802,0.43033,1.09806,0.000286635,0.000286635,0.000286635
11,102.272,0.98268,0.5304,1.26116,0.9946,1,0.995,0.65855,1.20552,0.4365,1.22958,0.00028515,0.00028515,0.00028515
12,110.86,0.96864,0.51647,1.23766,0.99766,0.99955,0.995,0.68353,1.186,0.40738,1.22602,0.000283665,0.000283665,0.000283665
13,120.207,0.98924,0.4998,1.24089,0.99699,0.99973,0.995,0.64813,1.29288,0.42852,1.3122,0.00028218,0.00028218,0.00028218
14,129.827,0.91013,0.46306,1.18949,0.99349,1,0.995,0.74819,0.91554,0.37601,1.08391,0.000280695,0.000280695,0.000280695
15,139.531,0.93989,0.48461,1.21642,0.99355,0.99537,0.995,0.74326,0.92874,0.38046,1.09078,0.00027921,0.00027921,0.00027921
16,149.193,0.91899,0.46817,1.19053,0.99049,0.99926,0.995,0.74531,0.95285,0.37772,1.0998,0.000277725,0.000277725,0.000277725
17,158.855,0.90738,0.46553,1.19499,0.99648,1,0.995,0.73772,0.98879,0.35332,1.12366,0.00027624,0.00027624,0.00027624
18,168.276,0.913,0.45911,1.18151,0.99363,0.99931,0.995,0.7184,1.06074,0.39001,1.1649,0.000274755,0.000274755,0.000274755
19,178.125,0.88404,0.44453,1.17976,0.99692,1,0.995,0.70986,1.0359,0.35784,1.1676,0.00027327,0.00027327,0.00027327
20,187.844,0.88615,0.45013,1.1864,0.99711,1,0.995,0.70375,1.08567,0.37256,1.19231,0.000271785,0.000271785,0.000271785
21,197.541,0.86901,0.44277,1.17488,0.99324,0.99444,0.99495,0.68725,1.14303,0.40885,1.21315,0.0002703,0.0002703,0.0002703
22,207.223,0.91624,0.46012,1.19718,0.99599,1,0.995,0.7597,0.93907,0.35873,1.08521,0.000268815,0.000268815,0.000268815
23,216.993,0.88398,0.45324,1.19026,0.99741,1,0.995,0.72209,1.06925,0.36993,1.15396,0.00026733,0.00026733,0.00026733
24,226.633,0.88625,0.43767,1.17348,0.99754,1,0.995,0.74766,0.95743,0.34737,1.10607,0.000265845,0.000265845,0.000265845
25,236.282,0.86323,0.42118,1.16079,0.99674,1,0.995,0.77499,0.88136,0.34346,1.06735,0.00026436,0.00026436,0.00026436
26,246.047,0.88099,0.43337,1.1657,0.99476,0.9981,0.995,0.75621,0.91574,0.3616,1.09217,0.000262875,0.000262875,0.000262875
27,255.688,0.86321,0.42387,1.15881,0.99602,1,0.995,0.73635,1.00325,0.35576,1.12336,0.00026139,0.00026139,0.00026139
28,265.545,0.85517,0.4127,1.15663,0.99564,1,0.995,0.7669,0.90662,0.34139,1.07503,0.000259905,0.000259905,0.000259905
29,275.195,0.87576,0.42019,1.17203,0.98614,0.99038,0.995,0.7571,0.94269,0.36126,1.09728,0.00025842,0.00025842,0.00025842
